SettlementPoint,AveragePrice,Year,Month
LZ_AEN,24.41679166666667,2019,6
LZ_AEN,29.709086021505374,2019,7
LZ_AEN,126.52692204301076,2019,8
LZ_AEN,80.16959722222222,2019,9
LZ_AEN,29.280443548387098,2019,10
LZ_AEN,24.40801388888889,2019,11
LZ_AEN,19.05170698924731,2019,12
LZ_CPS,19.353844086021507,2016,1
LZ_CPS,15.520014367816092,2016,2
LZ_CPS,16.898183041722746,2016,3
LZ_CPS,19.06936111111111,2016,4
LZ_CPS,18.47986559139785,2016,5
LZ_CPS,24.958069444444444,2016,6
LZ_CPS,27.967956989247313,2016,7
LZ_CPS,31.306572580645163,2016,8
LZ_CPS,28.13025,2016,9
LZ_CPS,26.25029569892473,2016,10
LZ_CPS,21.714666666666666,2016,11
LZ_CPS,26.596424731182797,2016,12
LZ_CPS,23.772567204301076,2017,1
LZ_CPS,20.919479166666665,2017,2
LZ_CPS,23.861547779273216,2017,3
LZ_CPS,25.337902777777778,2017,4
LZ_CPS,26.53702956989247,2017,5
LZ_CPS,30.416,2017,6
LZ_CPS,32.11529569892473,2017,7
LZ_CPS,28.137567204301074,2017,8
LZ_CPS,25.136652777777776,2017,9
LZ_CPS,25.27595430107527,2017,10
LZ_CPS,23.572569444444444,2017,11
LZ_CPS,22.048373655913977,2017,12
LZ_CPS,41.31287634408602,2018,1
LZ_CPS,22.51739583333333,2018,2
LZ_CPS,25.289273216689097,2018,3
LZ_CPS,26.535375,2018,4
LZ_CPS,36.05559139784946,2018,5
LZ_CPS,30.72727777777778,2018,6
LZ_CPS,79.12443548387097,2018,7
LZ_CPS,31.86568548387097,2018,8
LZ_CPS,27.51298611111111,2018,9
LZ_CPS,31.635967741935485,2018,10
LZ_CPS,32.04120833333333,2018,11
LZ_CPS,30.309220430107526,2018,12
LZ_CPS,26.798333333333332,2019,1
LZ_CPS,24.110119047619047,2019,2
LZ_CPS,29.351695827725436,2019,3
LZ_CPS,25.36359722222222,2019,4
LZ_CPS,26.246075268817204,2019,5
LZ_CPS,26.391291666666667,2019,6
LZ_CPS,30.66717741935484,2019,7
LZ_CPS,127.69620967741936,2019,8
LZ_CPS,82.43634722222222,2019,9
LZ_CPS,33.553602150537635,2019,10
LZ_CPS,25.57513888888889,2019,11
LZ_CPS,19.997862903225805,2019,12
LZ_HOUSTON,19.56393817204301,2016,1
LZ_HOUSTON,15.487988505747126,2016,2
LZ_HOUSTON,17.206729475100943,2016,3
LZ_HOUSTON,19.128930555555556,2016,4
LZ_HOUSTON,19.90399193548387,2016,5
LZ_HOUSTON,29.91508333333333,2016,6
LZ_HOUSTON,29.91186827956989,2016,7
LZ_HOUSTON,33.56354838709677,2016,8
LZ_HOUSTON,29.032680555555554,2016,9
LZ_HOUSTON,28.54581989247312,2016,10
LZ_HOUSTON,20.437680555555556,2016,11
LZ_HOUSTON,25.736841397849464,2016,12
LZ_HOUSTON,24.82736559139785,2017,1
LZ_HOUSTON,23.51721726190476,2017,2
LZ_HOUSTON,28.742005383580082,2017,3
LZ_HOUSTON,32.96706944444445,2017,4
LZ_HOUSTON,32.36264784946236,2017,5
LZ_HOUSTON,33.66891666666667,2017,6
LZ_HOUSTON,34.725833333333334,2017,7
LZ_HOUSTON,30.031478494623656,2017,8
LZ_HOUSTON,27.410027777777778,2017,9
LZ_HOUSTON,31.339381720430108,2017,10
LZ_HOUSTON,26.339625,2017,11
LZ_HOUSTON,21.97978494623656,2017,12
LZ_HOUSTON,38.04498655913979,2018,1
LZ_HOUSTON,22.375848214285714,2018,2
LZ_HOUSTON,23.933458950201885,2018,3
LZ_HOUSTON,24.728347222222222,2018,4
LZ_HOUSTON,35.5330376344086,2018,5
LZ_HOUSTON,31.802347222222224,2018,6
LZ_HOUSTON,79.56653225806451,2018,7
LZ_HOUSTON,32.159623655913975,2018,8
LZ_HOUSTON,27.722416666666668,2018,9
LZ_HOUSTON,31.78111559139785,2018,10
LZ_HOUSTON,31.730333333333334,2018,11
LZ_HOUSTON,30.462069892473117,2018,12
LZ_HOUSTON,25.55008064516129,2019,1
LZ_HOUSTON,21.644255952380952,2019,2
LZ_HOUSTON,28.080323014804843,2019,3
LZ_HOUSTON,24.264583333333334,2019,4
LZ_HOUSTON,25.15361559139785,2019,5
LZ_HOUSTON,27.226736111111112,2019,6
LZ_HOUSTON,30.01306451612903,2019,7
LZ_HOUSTON,126.69338709677419,2019,8
LZ_HOUSTON,80.77929166666667,2019,9
LZ_HOUSTON,30.642379032258063,2019,10
LZ_HOUSTON,24.18161111111111,2019,11
LZ_HOUSTON,18.919852150537633,2019,12
LZ_LCRA,19.317459677419354,2016,1
LZ_LCRA,15.488548850574713,2016,2
LZ_LCRA,16.796298788694482,2016,3
LZ_LCRA,18.392708333333335,2016,4
LZ_LCRA,18.182782258064517,2016,5
LZ_LCRA,24.164416666666668,2016,6
LZ_LCRA,27.592217741935485,2016,7
LZ_LCRA,31.175577956989247,2016,8
LZ_LCRA,27.039944444444444,2016,9
LZ_LCRA,26.068440860215055,2016,10
LZ_LCRA,19.541680555555555,2016,11
LZ_LCRA,25.487876344086022,2016,12
LZ_LCRA,23.43627688172043,2017,1
LZ_LCRA,20.66081845238095,2017,2
LZ_LCRA,23.437133243606997,2017,3
LZ_LCRA,24.477416666666667,2017,4
LZ_LCRA,25.63795698924731,2017,5
LZ_LCRA,28.639083333333332,2017,6
LZ_LCRA,31.9057123655914,2017,7
LZ_LCRA,27.678010752688174,2017,8
LZ_LCRA,24.813430555555556,2017,9
LZ_LCRA,24.484260752688172,2017,10
LZ_LCRA,23.047125,2017,11
LZ_LCRA,21.11766129032258,2017,12
LZ_LCRA,38.992567204301075,2018,1
LZ_LCRA,21.762247023809525,2018,2
LZ_LCRA,22.05130551816958,2018,3
LZ_LCRA,22.64402777777778,2018,4
LZ_LCRA,34.73540322580645,2018,5
LZ_LCRA,30.365555555555556,2018,6
LZ_LCRA,79.06994623655913,2018,7
LZ_LCRA,31.807970430107527,2018,8
LZ_LCRA,27.18726388888889,2018,9
LZ_LCRA,30.069879032258065,2018,10
LZ_LCRA,30.515805555555556,2018,11
LZ_LCRA,30.58266129032258,2018,12
LZ_LCRA,24.93630376344086,2019,1
LZ_LCRA,21.666979166666668,2019,2
LZ_LCRA,27.649313593539702,2019,3
LZ_LCRA,23.31476388888889,2019,4
LZ_LCRA,24.508682795698924,2019,5
LZ_LCRA,24.519541666666665,2019,6
LZ_LCRA,29.747916666666665,2019,7
LZ_LCRA,126.67076612903226,2019,8
LZ_LCRA,82.4672361111111,2019,9
LZ_LCRA,29.015806451612903,2019,10
LZ_LCRA,24.485222222222223,2019,11
LZ_LCRA,19.456881720430108,2019,12
LZ_NORTH,19.187997311827957,2016,1
LZ_NORTH,15.46221264367816,2016,2
LZ_NORTH,17.461507402422612,2016,3
LZ_NORTH,19.08763888888889,2016,4
LZ_NORTH,18.182889784946237,2016,5
LZ_NORTH,23.562680555555556,2016,6
LZ_NORTH,27.41577956989247,2016,7
LZ_NORTH,30.148575268817204,2016,8
LZ_NORTH,26.60586111111111,2016,9
LZ_NORTH,24.53266129032258,2016,10
LZ_NORTH,18.830513888888888,2016,11
LZ_NORTH,25.28625,2016,12
LZ_NORTH,23.603024193548386,2017,1
LZ_NORTH,19.550014880952382,2017,2
LZ_NORTH,21.83940780619112,2017,3
LZ_NORTH,21.975805555555556,2017,4
LZ_NORTH,24.557513440860216,2017,5
LZ_NORTH,26.89373611111111,2017,6
LZ_NORTH,31.186841397849463,2017,7
LZ_NORTH,27.060362903225805,2017,8
LZ_NORTH,23.96840277777778,2017,9
LZ_NORTH,21.938427419354838,2017,10
LZ_NORTH,22.263166666666667,2017,11
LZ_NORTH,21.408131720430106,2017,12
LZ_NORTH,37.72852150537634,2018,1
LZ_NORTH,21.84046130952381,2018,2
LZ_NORTH,22.640551816958276,2018,3
LZ_NORTH,24.366888888888887,2018,4
LZ_NORTH,37.45188172043011,2018,5
LZ_NORTH,31.30161111111111,2018,6
LZ_NORTH,79.84618279569892,2018,7
LZ_NORTH,31.971586021505377,2018,8
LZ_NORTH,27.88584722222222,2018,9
LZ_NORTH,31.645416666666666,2018,10
LZ_NORTH,31.974125,2018,11
LZ_NORTH,31.131948924731184,2018,12
LZ_NORTH,24.367836021505376,2019,1
LZ_NORTH,20.851145833333334,2019,2
LZ_NORTH,28.594037685060567,2019,3
LZ_NORTH,23.718430555555557,2019,4
LZ_NORTH,24.011451612903226,2019,5
LZ_NORTH,25.207916666666666,2019,6
LZ_NORTH,29.83494623655914,2019,7
LZ_NORTH,126.60091397849462,2019,8
LZ_NORTH,80.77415277777777,2019,9
LZ_NORTH,28.732943548387098,2019,10
LZ_NORTH,24.15361111111111,2019,11
LZ_NORTH,19.006801075268818,2019,12
LZ_RAYBN,19.447943548387098,2016,1
LZ_RAYBN,15.400431034482759,2016,2
LZ_RAYBN,17.117240915208615,2016,3
LZ_RAYBN,18.85536111111111,2016,4
LZ_RAYBN,18.320994623655913,2016,5
LZ_RAYBN,23.315944444444444,2016,6
LZ_RAYBN,27.471075268817206,2016,7
LZ_RAYBN,30.149758064516128,2016,8
LZ_RAYBN,26.47026388888889,2016,9
LZ_RAYBN,24.452513440860216,2016,10
LZ_RAYBN,18.875319444444443,2016,11
LZ_RAYBN,25.319556451612904,2016,12
LZ_RAYBN,23.39010752688172,2017,1
LZ_RAYBN,20.369151785714287,2017,2
LZ_RAYBN,21.907160161507402,2017,3
LZ_RAYBN,22.213430555555554,2017,4
LZ_RAYBN,24.00133064516129,2017,5
LZ_RAYBN,26.125041666666668,2017,6
LZ_RAYBN,30.760497311827958,2017,7
LZ_RAYBN,26.824825268817204,2017,8
LZ_RAYBN,23.535680555555555,2017,9
LZ_RAYBN,21.379932795698924,2017,10
LZ_RAYBN,21.829180555555556,2017,11
LZ_RAYBN,21.31260752688172,2017,12
LZ_RAYBN,39.37014784946236,2018,1
LZ_RAYBN,22.403169642857144,2018,2
LZ_RAYBN,23.8057065948856,2018,3
LZ_RAYBN,27.198875,2018,4
LZ_RAYBN,40.95125,2018,5
LZ_RAYBN,31.94558333333333,2018,6
LZ_RAYBN,84.90190860215054,2018,7
LZ_RAYBN,32.51872311827957,2018,8
LZ_RAYBN,27.680888888888887,2018,9
LZ_RAYBN,30.624959677419355,2018,10
LZ_RAYBN,33.452444444444446,2018,11
LZ_RAYBN,31.55353494623656,2018,12
LZ_RAYBN,24.41149193548387,2019,1
LZ_RAYBN,21.066279761904763,2019,2
LZ_RAYBN,29.809798115746972,2019,3
LZ_RAYBN,24.998305555555557,2019,4
LZ_RAYBN,24.78815860215054,2019,5
LZ_RAYBN,25.458513888888888,2019,6
LZ_RAYBN,30.029717741935485,2019,7
LZ_RAYBN,126.89788978494623,2019,8
LZ_RAYBN,80.6986388888889,2019,9
LZ_RAYBN,28.554381720430108,2019,10
LZ_RAYBN,24.517569444444444,2019,11
LZ_RAYBN,19.085067204301076,2019,12
LZ_SOUTH,19.481720430107526,2016,1
LZ_SOUTH,15.935862068965518,2016,2
LZ_SOUTH,19.52114401076716,2016,3
LZ_SOUTH,20.738,2016,4
LZ_SOUTH,20.691747311827957,2016,5
LZ_SOUTH,27.471652777777777,2016,6
LZ_SOUTH,28.889583333333334,2016,7
LZ_SOUTH,31.823306451612904,2016,8
LZ_SOUTH,28.762013888888887,2016,9
LZ_SOUTH,30.03103494623656,2016,10
LZ_SOUTH,20.633388888888888,2016,11
LZ_SOUTH,26.326841397849464,2016,12
LZ_SOUTH,25.155483870967743,2017,1
LZ_SOUTH,21.793690476190477,2017,2
LZ_SOUTH,26.52820995962315,2017,3
LZ_SOUTH,28.549888888888887,2017,4
LZ_SOUTH,29.9797311827957,2017,5
LZ_SOUTH,36.78344444444444,2017,6
LZ_SOUTH,34.19329301075269,2017,7
LZ_SOUTH,33.457849462365594,2017,8
LZ_SOUTH,28.330347222222223,2017,9
LZ_SOUTH,28.464018817204302,2017,10
LZ_SOUTH,27.86572222222222,2017,11
LZ_SOUTH,25.404220430107525,2017,12
LZ_SOUTH,46.132567204301075,2018,1
LZ_SOUTH,25.19703869047619,2018,2
LZ_SOUTH,26.759973082099595,2018,3
LZ_SOUTH,28.186972222222224,2018,4
LZ_SOUTH,41.27442204301075,2018,5
LZ_SOUTH,32.25868055555556,2018,6
LZ_SOUTH,80.44756720430108,2018,7
LZ_SOUTH,33.690631720430105,2018,8
LZ_SOUTH,28.38376388888889,2018,9
LZ_SOUTH,32.12697580645161,2018,10
LZ_SOUTH,33.54448611111111,2018,11
LZ_SOUTH,32.11272849462365,2018,12
LZ_SOUTH,27.057903225806452,2019,1
LZ_SOUTH,23.728958333333335,2019,2
LZ_SOUTH,30.52948855989233,2019,3
LZ_SOUTH,27.147833333333335,2019,4
LZ_SOUTH,27.210994623655914,2019,5
LZ_SOUTH,27.259597222222222,2019,6
LZ_SOUTH,31.132163978494624,2019,7
LZ_SOUTH,127.1090188172043,2019,8
LZ_SOUTH,81.00911111111111,2019,9
LZ_SOUTH,32.942110215053766,2019,10
LZ_SOUTH,25.803708333333333,2019,11
LZ_SOUTH,19.786881720430106,2019,12
LZ_WEST,19.519260752688172,2016,1
LZ_WEST,15.04448275862069,2016,2
LZ_WEST,16.00265141318977,2016,3
LZ_WEST,17.153666666666666,2016,4
LZ_WEST,17.73752688172043,2016,5
LZ_WEST,23.48876388888889,2016,6
LZ_WEST,27.178790322580646,2016,7
LZ_WEST,30.010564516129033,2016,8
LZ_WEST,26.767666666666667,2016,9
LZ_WEST,25.18225806451613,2016,10
LZ_WEST,19.343138888888888,2016,11
LZ_WEST,25.165819892473117,2016,12
LZ_WEST,23.231370967741935,2017,1
LZ_WEST,18.47705357142857,2017,2
LZ_WEST,20.25119784656797,2017,3
LZ_WEST,20.388569444444446,2017,4
LZ_WEST,22.86779569892473,2017,5
LZ_WEST,27.512319444444444,2017,6
LZ_WEST,31.130174731182795,2017,7
LZ_WEST,27.21391129032258,2017,8
LZ_WEST,27.011777777777777,2017,9
LZ_WEST,22.173319892473117,2017,10
LZ_WEST,22.152916666666666,2017,11
LZ_WEST,21.872258064516128,2017,12
LZ_WEST,37.29330645161291,2018,1
LZ_WEST,22.12410714285714,2018,2
LZ_WEST,22.301628532974426,2018,3
LZ_WEST,21.128125,2018,4
LZ_WEST,49.60012096774194,2018,5
LZ_WEST,57.967527777777775,2018,6
LZ_WEST,101.47096774193548,2018,7
LZ_WEST,33.289852150537634,2018,8
LZ_WEST,27.101097222222222,2018,9
LZ_WEST,30.004556451612903,2018,10
LZ_WEST,31.224027777777778,2018,11
LZ_WEST,34.98084677419355,2018,12
LZ_WEST,27.461532258064516,2019,1
LZ_WEST,22.798958333333335,2019,2
LZ_WEST,31.282960969044414,2019,3
LZ_WEST,21.699236111111112,2019,4
LZ_WEST,28.851989247311828,2019,5
LZ_WEST,32.02677777777778,2019,6
LZ_WEST,32.07568548387097,2019,7
LZ_WEST,128.87646505376344,2019,8
LZ_WEST,83.47113888888889,2019,9
LZ_WEST,49.38336021505376,2019,10
LZ_WEST,49.34084722222222,2019,11
LZ_WEST,39.5025940860215,2019,12
